timestamp,fecha,hora,minuto,dia_semana,es_fin_semana,parking_id,parking_nombre,tipo,capacidad,libres,ocupados,pct_ocupacion,estado
2026-05-16 00:00:00,2026-05-16,0,0,5,1,CE,Cervantes,centro,400,305,95,0.2364,LIBRE
2026-05-16 00:00:00,2026-05-16,0,0,5,1,MA,Pz. de la Marina,centro,180,138,42,0.2357,LIBRE
2026-05-16 00:00:00,2026-05-16,0,0,5,1,CA,Camas,comercial,250,192,58,0.2312,LIBRE
2026-05-16 00:00:00,2026-05-16,0,0,5,1,PA,El Palo,playa,120,85,35,0.2875,LIBRE
2026-05-16 00:00:00,2026-05-16,0,0,5,1,AN,Av. de Andalucía,comercial,550,423,127,0.2308,LIBRE
2026-05-16 00:00:00,2026-05-16,0,0,5,1,TE,Tejón y Rodríguez,centro,100,80,20,0.2026,LIBRE
2026-05-16 00:00:00,2026-05-16,0,0,5,1,AL,Alcazaba,centro,200,150,50,0.2483,LIBRE
2026-05-16 00:00:00,2026-05-16,0,0,5,1,SJ,San Juan de la Cruz,comercial,450,348,102,0.2273,LIBRE
2026-05-16 00:00:00,2026-05-16,0,0,5,1,CY,Carlos Haya,hospital,400,300,100,0.2496,LIBRE
2026-05-16 00:00:00,2026-05-16,0,0,5,1,PB,Pío Baroja,playa,200,145,55,0.2729,LIBRE
2026-05-16 00:30:00,2026-05-16,0,30,5,1,CE,Cervantes,centro,400,319,81,0.2013,LIBRE
2026-05-16 00:30:00,2026-05-16,0,30,5,1,MA,Pz. de la Marina,centro,180,140,40,0.2241,LIBRE
2026-05-16 00:30:00,2026-05-16,0,30,5,1,CA,Camas,comercial,250,199,51,0.2023,LIBRE
2026-05-16 00:30:00,2026-05-16,0,30,5,1,PA,El Palo,playa,120,88,32,0.264,LIBRE
2026-05-16 00:30:00,2026-05-16,0,30,5,1,AN,Av. de Andalucía,comercial,550,458,92,0.1671,LIBRE
2026-05-16 00:30:00,2026-05-16,0,30,5,1,TE,Tejón y Rodríguez,centro,100,85,15,0.1464,LIBRE
2026-05-16 00:30:00,2026-05-16,0,30,5,1,AL,Alcazaba,centro,200,158,42,0.21,LIBRE
2026-05-16 00:30:00,2026-05-16,0,30,5,1,SJ,San Juan de la Cruz,comercial,450,353,97,0.2159,LIBRE
2026-05-16 00:30:00,2026-05-16,0,30,5,1,CY,Carlos Haya,hospital,400,312,88,0.2207,LIBRE
2026-05-16 00:30:00,2026-05-16,0,30,5,1,PB,Pío Baroja,playa,200,150,50,0.2484,LIBRE
2026-05-16 01:00:00,2026-05-16,1,0,5,1,CE,Cervantes,centro,400,329,71,0.1782,LIBRE
2026-05-16 01:00:00,2026-05-16,1,0,5,1,MA,Pz. de la Marina,centro,180,154,26,0.1445,LIBRE
